Pair,Horizon,N,N(A),N(B),N(A∩B),P(A),P(B),P(B|A),P(A|B),Lift,Odds Ratio
Equities↓(≥1% m/m) ⇒ 10y↓,t,19.0,4.0,12.0,2.0,0.21052631578947367,0.631578947368421,0.5,0.16666666666666666,0.7916666666654133,0.50000000000005
Equities↓(≥1% m/m) ⇒ 10y↓,t+1,18.0,4.0,12.0,3.0,0.2222222222222222,0.6666666666666666,0.75,0.25,1.1249999999983127,1.6666666666657035
Equities↓(≥1% m/m) ⇒ 6m↓,t,19.0,4.0,12.0,3.0,0.21052631578947367,0.631578947368421,0.75,0.25,1.18749999999812,1.9999999999987779
Equities↓(≥1% m/m) ⇒ 6m↓,t+1,18.0,4.0,12.0,3.0,0.2222222222222222,0.6666666666666666,0.75,0.25,1.1249999999983127,1.6666666666657035
